Crop species,Crop name,MonfredaCrop,CropCategory,Breeding,Pollination without visitors,Pollinators and visitors,Positive impact by animal pollination,"Leading crop, commodity",Refs for positive impact,Notes
Durio zibethinus,Durian,tropicalnes,Fruit,"hermaphrodite, monoecious, mainly self-incompatible",,"honey bees (Apis dorsata), bats (Eoncyteris spelaea), birds",great,"commodity, fresh tropical fruits NES",Morton 1987; Salakpetch et al. 1992; George et al. 1994; Yaacob & Subhadrabandhu 1995; Husin & Abidin 1998; Lim & Luders 1998; Weterkamp & Gottsberger 2000,
Eriobotrya japonica (syn. Mespilus japonicus),"Loquat, Japanese plum, Japanese medlar",fruitnes,Fruit,"hermaphrodite, self-incompatible",passive self-pollination,"honey bees (Apis cerana), bumble bees",great,"commodity, fresh fruits NES","Khan et al. 1986, Morton 1987; Crane 1991; Free 1993; Sharma & Jindal 1997",
Feijoa sellowiana,Feijoa,tropicalnes,Fruit,"hermaphrodite, varying level of self-incompatibility among varieties","passive self-pollination, wind pollination","birds (Turdus merula, Acridotheres tristis), honey bees, honey bees",great,"commodity, fresh tropical fruits NES","Schroeder 1953; Stewart 1984, 1989; Patterson 1990; Free 1993 (vary among varieties); Ducroquet & Hickel 1997; Degenhard et al. 2001",
Ficus carica,Fig,fig,Fruit,"gyno-dioecious, monoecious",variable level of parthenocarpy among varieties,wasp (Blastophaga psenes),modest,no,Free 1993; Westerkamp & Gottsberger 2000,
Fragaria ssp.,Strawberry,strawberry,Fruit,"hermaphrodite (most varieties), self-compatible","passive self-pollination, little wind pollination","honey bees (Apis mellifera), stingless bees (Trigona angusula, T. (Tetragonula) minangkabau, Nannotrigona testaceicornis), bumble bees, solitary bees (Osmia cornuta), hover flies",modest,no,Maeta et al. 1992; Chagnon et al. 1993; Free 1993; Kakutani et al. 1993; Zebrowska 1998; Delaplane & Mayer 2000; Malagodi-Braga & Kleinert 2004,
Litchi chinensis,"Litchi, Lychee",fruitnes,Fruit,"andro-monoecious, self-compatible","little self-pollination, wind pollination","honey bees (Apis sp.), flies",little,"commodity, fresh fruits NES",in Free 1993; Bhatia et al. 1995; Stern & Gazit 1996; Sharma & Jindal 1997,
Malus domestica,Apple,apple,Fruit,"hermaphrodite, mainly self-incompatible","passive self-pollination, parthenocarpy in some varieties","honey bees (Apis cerana, A. mellifera), bumble bees (Bombus sp.), solitary bees (Andrena sp., Anthophora) sp., (Osmia cornifrons, O. lignaria propinqua, O. rufa), hover flies (Eristalis cerealis, E. tenax)",great,yes,Crane 1991; Free 1993; Sekita & Amada 1993; Fourez 1995; Batra 1998; Delaplane & Mayer 2000; Westerkamp & Gottsberger 2000; Vicens & Bosch 2000; Kron et al. 2001; Sekita 2001; Stern et al. 2001; Thomson & Goodell 2001; Wei et al. 2002; in Soltész 2003; Ladurner et al. 2004; Sharma et al. 2004,
Mammea americana (syn. Mamea americana),Mammee,tropicalnes,Fruit,andro-dioecious,passive self-pollination,bees,modest (indirect),"commodity, fresh tropical fruits NES",Morton 1987; Roubik 1995; Dunthorn 2004,
Mangifera indica,Mango,mango,Fruit,"andro-monoecious, variable self-compatibility among varieties","passive self-pollination, wind pollination","honey bees (Apis sp.), stingless bees (Trigona sp.), flies, ants, wasps",great,yes,Free 1993; du Toit 1994; Bhatia et al. 1995; Dag et al. 2001,
"Manikara zapotilla (syn. Manikara zapota, Achras sapota)",Sapodilla,tropicalnes,Fruit,"hermaphrodite, largely self-incompatible",,"Thrips (Thrips hawaiiensis), Haplothrips (Haplothrips tenuipennis)",essential,"commodity, fresh tropical fruits NES",Piatos & Knight 1975; Reddi 1989; Mickelbart 1996,
Mespilus germanica,Medlar,fruitnes,Fruit,"hermaphrodite, self-compatible","passive self-pollination, parthenocarpy",honey bees (Apis mellifera),unknown,"commodity, fresh fruits NES",Reiter 1947; Phipps 2003,
Nephelium lappaceum,Rambutan,tropicalnes,Fruit,"hermaphrodite (functional gynoecious), androecious",apomixis in some varieties,"honey bees (Apis cerana), stingless bees, flies",little,"commodity, fresh tropical fruits NES",Roubik 1995; Heard 1999; in Slaa et al. 2006,
Opuntia ficus-indica,Prickly pear,fruitnes,Fruit,"hermaphrodite, mostly self-incompatible",parthenocarpy,bumble bees,modest (indirect),"commodity, fresh fruits NES",Grant & Hurt 1979; Weiss et al. 1993; DeFelice 2004,
Passiflora edulis,"Passion fruit, Maracuja",tropicalnes,Fruit,"hermaphrodite, most varieties largely self-incompatible","passive self-pollination in some varieties (Bruckner et al. 1995), hand pollination","carpenter bees (=solitary bees) (Xylocopa frontalis, X. suspecta), bumble bees, hummingbirds",essential,"commodity, fresh tropical fruits NES",Corbert & Willmer 1980; Free 1993; Brancher 1999; Camillo 1996; Da Silva 1999; Delaplane & Mayer 2000; Westerkamp & Gottsberger 2000; Almeida Lima 2002; Freitas & De Oliveira Filho 2003,
Persea americana,Avocado,avocado,Fruit,"hermaphrodite, dichogamous, self-incompatible",passive self-pollination,"honey bees, stingless bees, solitary bees",great,no,"Vithanage 1990; Free 1993; Ish-Am & Eisikowitch 1993, du Toit 1994; Ish-Am 1998a,b; Ish-Am 1999 in Heard 1999; Delaplane & Mayer 2000; Gazit & Degani 2002; Can-Alonso et al. 2005",
"Pouteria sapota (syns. Calocarpum sapota, Calocarpum mammosum, Pouteria mammosa)","Sapote, Mamey colorado",tropicalnes,Fruit,"hermaphrodite, night anthesis",unknown,honey bees,unknown,"commodity, fresh tropical fruits NES",Morton 1987; Davenport & O’Neal 2000,
"Prunus domestica, P. spinosa","Plum, Greengage, Mirabelle, Sloe",plum,Fruit,hermaphrodite varieties self-incompatible or self-compatible,passive self-pollination,"honey bees (Apis mellifera), bumble bees, solitary bees (Osmia lignaria propinqua), flies",great,yes,Free 1993; Calzoni & Speranza 1998; Delaplane & Mayer 2000; Westerkamp & Gottsberger 2000; Frève et al. 2001; in Szábo 2003,
"Prunus persica, Persica laevis","Peach, Nectarine",peachetc,Fruit,"hermaphrodite, self-compatible",passive self-pollination,"honey bees (Apis mellifera), bumble bees, solitary bees (Osmia cornifrons, O. lignaria propinqua), flies",great,yes,Free 1993; Delaplane & Mayer 2000; in Westerkamp & Gottsberger 2000; da Mota & Nogueira-Couto 2002; Szábo et al. 2003b,
Prunus avium,Sweet cherry,cherry,Fruit,"hermaphrodite, mostly self-incompatible",passive self-pollination,"honey bees (Apis mellifera), bumble bees, solitary bees (Osmia lignaria), flies",great,no,Bosch & Kemp 1999; Delaplane & Mayer 2000; Nyéki et al. 2003a; Bosch et al. 2006,
Prunus armeniaca,Apricot,apricot,Fruit,"hermaphrodite (old-world varieties self-compatible, new-world varieties self-incompatible)",passive self-pollination,"honey bees (Apis mellifera), bumble bees, solitary bees (Osmia cornifrons, O. lignaria propinqua), flies",great,no,Free 1993; McLaren et al. 1995; Austin et al. 1996; Delaplane & Mayer 2000; Westerkamp & Gottsberger 2000; in Szábo et al. 2003a; Benedek et al. 2006; Vaissière et al. 2006,
Prunus cerasus,Sour cherry,cherry,Fruit,"hermaphrodite, varying level of self-compatibility",passive self-pollination,"honey bees (Apis mellifera), bumble bees, solitary bees, flies",great,no,Free 1993; Delaplane & Mayer 2000; in Nyéki et al. 2003b,
Psidium guajava,"Guava, Guayaba",tropicalnes,Fruit,"hermaphrodite, self-compatible",passive self-pollination,"honey bees (Apis mellifera), stingless bees (Trigona cupira), bumble bees (Bombus mexicanus), solitary bees (Lasioglossum spp.)",modest,"commodity, fresh tropical fruits NES",Hedström 1988; Sharma & Jindal 1997; Lakshmi & Mohana Rao 1998; Heard 1999,
Punica granatum,Pomegranate,fruitnes,Fruit,"hermaphrodite, andro-monoecious, partly self-incompatible",passive self-pollination,"honey bees, beetles (Cetonia, Trichodes)",modest,"commodity, fresh fruits NES",Free 1993; Knuth 1908; Rana & Dwivedi 1997; Melgarejo et al. 2000; Derin & Eti 2001; Mars & Marrakchi 2004,
Pyrus communis,Pear,pear,Fruit,"hermaphrodite, self-incompatible",passive self-pollination,"honey bees (Apis mellifera), bumble bees, solitary bees (Osmia sp.), flies (Eristalis sp.)",great,yes,Free 1993; Delaplane & Mayer 2000; Westerkamp & Gottsberger 2000; Maccagnani et al. 2003; Nyéki & Soltész 2003; Monzón et al. 2004; Stern et al. 2004,
"Ribes nigrum, R. rubrum","Black currant, Red currant",currant,Fruit,"hermaphrodite, varying degree of self-incompatibility depending on species and variety",passive self-pollination,"honey bees (Apis mellifera), bumble bees (Bombus sp.), solitary bees",modest,no,Free 1993; Koltowski et al. 1997; Koltowski et al. 1999; Soltész et al. 2003b,
Rosa spp. (R. canina and all other spp. In section Caninae),"Rose hips, Dogroses",fruitnes,Fruit,"hermaphrodite, varying degree of self-compatibility depending on species and hybrids","self-pollination, parthenocarpy","honey bees, bumble bees (Bombus spp.), carpenter bees (Xylocopa spp.), solitary bees, hover flies (Eristalis spp.)",great,"commodity, fresh fruits NES",Jicinska 1976; Stougaard 1983; Yeboah Gyan & Woodell 1987; Kevan et al. 1990; Ueda & Akimoto 2001; Kevan 2003,
"Rubus idaeus, R. fruiticosus, R. chamaemorus, R. flagellaris, R. trivalis","Raspberry, Blackberry, Clouderry, Northern Dewberry, Southern Dewberry",rasberry; berrynes,Fruit,"hermaphrodite, self-compatible",passive self-pollination yielding inferior fruits,"honey bees (Apis mellifera), bumble bees (Bombus spp.), solitary bees (Osmia aglaia, O. cornuta), hover flies (Eristalis spp.)",great,no,Yeboah Gyan & Woodell 1987; Chagnon et al. 1991; Free 1993; Willmer et al. 1994; Pinzauti et al. 1997; Pelletier et al. 2001; Cane 2005,
