Crop species,Crop name,MonfredaCrop,CropCategory,Breeding,Pollination without visitors,Pollinators and visitors,Positive impact by animal pollination,"Leading crop, commodity",Refs for positive impact,Notes
Theobroma cacao,Cocoa,cocoa,Stimulant,"hermaphrodite, variable level of self-incompatibility (self-compatible in the amelonado varieties)",,"bees, cecidomyiid midges ceratopogonid midges",essential,no,"Free 1993; Falque et al. 1995, 1996; Lachenaud 1994; Westerkamp & Gottsberger 2000",
Afromomum melegueta,Grains of paradise,spicenes,Spices and Condiments,unknown,unknown,unknown,unknown,no,,
Carum carvi,Caraway,spicenes,Spices and Condiments,"andro-monoecious, dichogamous, self-compatible","wind pollination, little passive self-pollination","solitary bees, flies",modest,no,"(Ricciardelli D’Albore 1986) Bouwmeester et al. 1995; Bouwmeester & Smid 1995; Németh et al. 1999, Németh & Székely 2000; Langenberger & Davis 2002",
Coriandrum sativum,Coriander,aniseetc,Spices and Condiments,"hermaphrodite, self-compatible",passive self-pollination,"honey bees (Apis cerana, A. dorsata, A. florea, A. mellifera), stingless bees, solitary bees",great,no,Crane 1991; Free 1993; Koul et al. 1993; Diederichsen 1996,
Cuminum cyminum,Cumin,spicenes,Spices and Condiments,"hermaphrodite, self-compatible","wind pollination, little passive self-pollination",unknown,great,no,Free 1993,
Elettaria cardamomum,Cardamom,nutmeg,Spices and Condiments,hermaphrodite,passive self-pollination,"honey bees (Apis cerana, Apis dorsata, Apis florea), solitary bees",great,no,Crane 1991; Free 1993; Sasikumar et al. 1999,
Illicium verum,Star anise,aniseetc,Spices and Condiments,"hermaphrodite, self-incompatible",unknown,unknown,unknown,no,,highly self-incompatible for I. floridanum (Thien et al. 1983)
Foeniculum vulgare,Fennel seed,aniseetc,Spices and Condiments,"hermaphrodite, few andro-monoecious, dichogamous, self-incompatible","wind pollination, little passive self-pollination","honey bees (Apis florea, A. mellifera)",great,no,McGregor 1976; Free 1993; Koul et al. 1993; Németh et al. 1999; Falzari et al. 2005,
Myristica fragrans,Nutmeg,nutmeg,Spices and Condiments,dioecious,wind pollination,beetles (Formicomus braminus),great (indirect),no,Armstrong & Drummond 1986,
"Pimenta dioica (syn. P. officinalis, P. dioica)","Allspice, Pimento",spicenes,Spices and Condiments,dioecious,unknown,"honey bees, Halictus, Exomalopsis, Ceratina",great (indirect),no,Free 1993; Lughadha & Proenca 1996,
"Piper nigrum, P. longum",Pepper,pepper,Spices and Condiments,"hermaphrodite, self-compatible, dichogamous","passive self-pollination, wind pollination","bees, hover flies as flower visitors",no increase,no,"Free 1993, but insect pollination mentioned in Roubik 1995; Sargent & Otto 2004",
Pimpinella anisum,Anise,aniseetc,Spices and Condiments,hermaphrodite,"passive self-pollination, wind pollination","honey bees (Apis mellifera), solitary bees, flies",unknown,no,McGregor 1976; Ricciardelli D’Albore 1986,
"Vanilla planifolia, V. pompona",Vanilla,vanilla,Spices and Condiments,"hermaphrodite, self-incompatible",hand pollination,"stingless bees, solitary bees, hummingbirds",essential,no,Free 1993,little natural pollination (< 1%)
